ref	flux	exp value	fitted value
N06	ACEA	0.494	0.426
N06	ACEB	0.494	0.426
N06	ACN_1	1.219	0.984
N06	ACN_2	1.219	0.984
N06	ACS_ACKA	0.000	0.000
F07	ATP_MAINTENANCE	1.256	1.255
N06	EDA	0.067	0.071
N06	EDD	0.067	0.071
N06	ENO	1.684	1.587
N06	FBA	0.830	0.801
N06	FUM	1.138	0.911
N06	GDH	1.767	1.688
N06	GLT	1.219	0.984
N06	GND	0.210	0.183
N06	GPM	1.684	1.587
N06	GROWTH	0.100	0.099
N06	ICD	0.725	0.558
N06	LPD	0.644	0.485
N06	MAE	0.139	0.096
N06	MQO_MDH	1.493	1.241
N06	PCK	0.507	0.481
N06	PDH	1.817	1.663
N06	PFK_FBP	0.830	0.801
N06	PGI	0.721	0.732
N06	PGK	1.767	1.688
N06	PGL	0.276	0.254
N06	PPC	0.324	0.345
N06	PTS_0	0.230	0.230
N06	PTS_1	0.230	0.230
N06	PTS_2	0.230	0.230
N06	PTS_3	0.230	0.230
N06	PTS_4	0.230	0.230
N06	PYK_PPS	0.817	0.687
N06	SDH	1.138	0.911
N06	SK	0.644	0.485
N06	SQR	1.138	0.911
N06	TPI	0.830	0.801
N06	ZWF	0.276	0.254