metabolite,5mthf,H2O,adn,ahcys,amet,atp,cyst-L,dmgly,gly,glyb,hcys-L,met-L,mlthf,nadp,nadph,pi,ppi,sarcs,ser-L,thf
5mthf,457895.2260267962,-0.1766220267,0.0239930532,2.9115398288,38.0922544156,0.0238927372,0.6109135191,31.3689639242,-0.2593927901,62.7599774922,2.7109247488,0.6314076073,457880.2766944211,20.555137832,20.6635284658,-0.1445474358,-0.1139329777,1.0042281339,0.0828129527,457879.2948376895
H2O,-0.1766220267,0.5761326669,0.0124807121,-0.2818259774,0.0,-0.2381020208,0.0,-0.0,0.1352105934,-0.0,0.2818259774,0.1750023093,-0.1766220267,-0.2587601456,-0.0631362616,0.3953784113,0.2157994116,-0.0,0.2558776103,0.3343757999
adn,0.0239930532,0.0124807121,2.0814897785,1.0345045332,1e-10,0.4442889425,0.0,-0.0,0.195520263,-0.0,-1.0345045332,0.0073595088,0.0239930532,0.0436782229,0.0396899995,-0.1738132448,-0.3561574091,-0.0,0.2672608693,0.002198031
ahcys,2.9115398288,-0.2818259774,1.0345045332,16.2459484958,4.2971043882,0.3411954817,13.080721267,0.1704331589,0.0301548348,0.2538584576,10.6316849274,12.8069856079,2.9115398288,3.7459879026,3.6461818489,-0.284595828,-0.2859784104,0.2923069324,0.0056916295,2.6451434044
amet,38.0922544156,0.0,1e-10,4.2971043882,1000025.576429992,-1e-10,2.0662614565,15.9582715876,-0.0,31.3753129167,4.2971043884,1.0288775363,38.0922544152,11.2977402075,11.2977402081,-0.0,-1e-10,1.4109102813,0.0,38.0922544158
atp,0.0238927372,-0.2381020208,0.4442889425,0.3411954817,-1e-10,2.2200569198,-0.0,0.0,-0.0118297777,0.0,-0.3411954817,-0.0354355089,0.0238927372,0.642006242,0.5533259689,0.2588681125,0.7610147068,0.0,-0.169982816,-0.1010806201
cyst-L,0.6109135191,0.0,0.0,13.080721267,2.0662614565,-0.0,16.6178408848,-0.1931995267,0.0,-0.5993763696,13.080721267,15.0126973397,0.6109135191,1.0147067076,1.0147067076,0.0,0.0,1.4942194289,-0.0,0.6109135191
dmgly,31.3689639242,-0.0,-0.0,0.1704331589,15.9582715876,0.0,-0.1931995267,1000017.4477951666,-0.0,33.7086437134,0.1704331589,1.4477552064,31.3689639242,2.3143935723,2.3143935723,0.0,0.0,0.016237586,-0.0,31.3689639242
gly,-0.2593927901,0.1352105934,0.195520263,0.0301548348,-0.0,-0.0118297777,0.0,-0.0,1.8613408356,-0.0,-0.0301548348,0.0942983931,-0.2593927901,-0.0392813154,-0.0328588696,0.0664493607,-0.001647472,0.0,0.75055995,0.4133063459
glyb,62.7599774922,-0.0,-0.0,0.2538584576,31.3753129167,0.0,-0.5993763696,33.7086437134,-0.0,1000065.7804019834,0.2538584576,2.3055688759,62.7599774922,5.8141832119,5.8141832119,0.0,0.0,-0.1859920905,-0.0,62.7599774922
hcys-L,2.7109247488,0.2818259774,-1.0345045332,10.6316849274,4.2971043884,-0.3411954817,13.080721267,0.1704331589,-0.0301548348,0.2538584576,16.2459484958,12.9746284083,2.7109247488,3.4435495341,3.5433555878,0.284595828,0.2859784104,0.2923069324,-0.0056916295,2.9773211732
met-L,0.6314076073,0.1750023093,0.0073595088,12.8069856079,1.0288775363,-0.0354355089,15.0126973397,1.4477552064,0.0942983931,2.3055688759,12.9746284083,17.5183610296,0.6314076073,0.8141863109,0.8558834798,0.1140273422,0.0533621689,0.7688599497,0.1369908298,0.7728218439
mlthf,457880.2766944211,-0.1766220267,0.0239930532,2.9115398288,38.0922544152,0.0238927372,0.6109135191,31.3689639242,-0.2593927901,62.7599774922,2.7109247488,0.6314076073,457882.5190942774,20.555137832,20.6635284658,-0.1445474358,-0.1139329777,1.0042281339,0.0828129527,457881.5372375457
nadp,20.555137832,-0.2587601456,0.0436782229,3.7459879026,11.2977402075,0.642006242,1.0147067076,2.3143935723,-0.0392813154,5.8141832119,3.4435495341,0.8141863109,20.555137832,46.6746529526,46.4784222986,-0.065948247,0.1282826335,0.5251431933,-0.1020637889,20.34229995
nadph,20.6635284658,-0.0631362616,0.0396899995,3.6461818489,11.2977402081,0.5533259689,1.0147067076,2.3143935723,-0.0328588696,5.8141832119,3.5433555878,0.8558834798,20.6635284658,46.4784222986,46.6354219147,0.0827369858,0.2280415932,0.5251431933,-0.0865070875,20.6177254031
pi,-0.1445474358,0.3953784113,-0.1738132448,-0.284595828,-0.0,0.2588681125,0.0,0.0,0.0664493607,0.0,0.284595828,0.1140273422,-0.1445474358,-0.065948247,0.0827369858,0.5605856885,0.7158558628,-0.0,0.0661085229,0.266424499
ppi,-0.1139329777,0.2157994116,-0.3561574091,-0.2859784104,-1e-10,0.7610147068,0.0,0.0,-0.001647472,0.0,0.2859784104,0.0533621689,-0.1139329777,0.1282826335,0.2280415932,0.7158558628,1.2313220023,0.0,-0.1211071837,0.1962353772
sarcs,1.0042281339,-0.0,-0.0,0.2923069324,1.4109102813,0.0,1.4942194289,0.016237586,0.0,-0.1859920905,0.2923069324,0.7688599497,1.0042281339,0.5251431933,0.5251431933,-0.0,0.0,20.0486625625,-0.0,1.0042281339
ser-L,0.0828129527,0.2558776103,0.2672608693,0.0056916295,0.0,-0.169982816,-0.0,-0.0,0.75055995,-0.0,-0.0056916295,0.1369908298,0.0828129527,-0.1020637889,-0.0865070875,0.0661085229,-0.1211071837,-0.0,1.302666887,-0.0133741302
thf,457879.2948376895,0.3343757999,0.002198031,2.6451434044,38.0922544158,-0.1010806201,0.6109135191,31.3689639242,0.4133063459,62.7599774922,2.9773211732,0.7728218439,457881.5372375457,20.34229995,20.6177254031,0.266424499,0.1962353772,1.0042281339,-0.0133741302,457882.6648546212
